sequenceId,ParameterKey,ParameterValue
1_18A,expgroup,Feedback
1_18A,repmark,41.62
1_18A,presmark,18.0
1_18A,teammark,53.62
1_18A,airtime_evenness,-11.31509143468192
1_18A,psy_safe,3.719047619047619
1_18B,expgroup,Feedback
1_18B,repmark,40.51
1_18B,presmark,22.33333333
1_18B,teammark,55.39888888666666
1_18B,airtime_evenness,-12.719687433050716
1_18B,psy_safe,4.554380952380952
1_18C,expgroup,Feedback
1_18C,repmark,41.76
1_18C,presmark,18.33333333
1_18C,teammark,53.98222221999999
1_18C,airtime_evenness,-11.928964662675053
1_18C,psy_safe,4.12
1_18D,expgroup,Feedback
1_18D,repmark,54.67000000000001
1_18D,presmark,17.66666667
1_18D,teammark,66.44777778000001
1_18D,airtime_evenness,-8.860539914712719
1_18D,psy_safe,4.061904761904762
1_18E,expgroup,Feedback
1_18E,repmark,42.72
1_18E,presmark,16.33333333
1_18E,teammark,53.608888886666655
1_18E,airtime_evenness,-9.813003659928242
1_18E,psy_safe,4.286190476190477
1_21B,expgroup,Control
1_21B,repmark,47.5
1_21B,presmark,18.16666667
1_21B,teammark,59.61111111333333
1_21B,airtime_evenness,-8.3544059035771
1_21B,psy_safe,4.0
1_21C,expgroup,Control
1_21C,repmark,57.73
1_21C,presmark,15.66666667
1_21C,teammark,68.17444444666667
1_21C,airtime_evenness,-3.3760258071050977
1_21C,psy_safe,
1_21D,expgroup,Control
1_21D,repmark,54.42000000000001
1_21D,presmark,20.16666667
1_21D,teammark,67.86444444666667
1_21D,airtime_evenness,-9.754009396004381
1_21D,psy_safe,
1_21E,expgroup,Control
1_21E,repmark,56.77
1_21E,presmark,23.33333333
1_21E,teammark,72.32555555333333
1_21E,airtime_evenness,-6.805761286617113
1_21E,psy_safe,4.476190476190475
1_22A,expgroup,Reflection
1_22A,repmark,52.13
1_22A,presmark,20.0
1_22A,teammark,65.46333333333335
1_22A,airtime_evenness,-10.198825270006646
1_22A,psy_safe,4.4714285714285715
1_22B,expgroup,Reflection
1_22B,repmark,40.66
1_22B,presmark,15.5
1_22B,teammark,50.99333333333333
1_22B,airtime_evenness,-13.119616597205056
1_22B,psy_safe,3.885714285714286
1_22C,expgroup,Reflection
1_22C,repmark,56.4
1_22C,presmark,19.5
1_22C,teammark,69.39999999999999
1_22C,airtime_evenness,-5.894872144388854
1_22C,psy_safe,4.242857142857142
1_22E,expgroup,Reflection
1_22E,repmark,40.61000000000001
1_22E,presmark,20.333300000000005
1_22E,teammark,54.16553333333332
1_22E,airtime_evenness,-14.222827171782113
1_22E,psy_safe,4.446666666666667
1_22F,expgroup,Reflection
1_22F,repmark,64.89999999999999
1_22F,presmark,18.5
1_22F,teammark,77.23333333333333
1_22F,airtime_evenness,-10.485884290520211
1_22F,psy_safe,4.304761904761905
1_23A,expgroup,Feedback
1_23A,repmark,50.35
1_23A,presmark,20.66666667
1_23A,teammark,64.12777777999999
1_23A,airtime_evenness,-11.138756705726987
1_23A,psy_safe,4.142857142857143
1_23B,expgroup,Feedback
1_23B,repmark,32.26
1_23B,presmark,17.66666667
1_23B,teammark,44.03777778
1_23B,airtime_evenness,-10.46153336098038
1_23B,psy_safe,4.435714285714285
1_23C,expgroup,Feedback
1_23C,repmark,47.38
1_23C,presmark,19.33333333
1_23C,teammark,60.26888888666666
1_23C,airtime_evenness,-12.696065230220333
1_23C,psy_safe,4.26
1_23D,expgroup,Feedback
1_23D,repmark,46.03
1_23D,presmark,24.33333333
1_23D,teammark,62.25222222
1_23D,airtime_evenness,-12.417493551420327
1_23D,psy_safe,4.217142857142857
1_23E,expgroup,Feedback
1_23E,repmark,56.15999999999999
1_23E,presmark,21.33333333
1_23E,teammark,70.38222222
1_23E,airtime_evenness,-5.673945758648154
1_23E,psy_safe,4.547619047619048
1_23F,expgroup,Feedback
1_23F,repmark,45.79
1_23F,presmark,18.66666667
1_23F,teammark,58.234444446666664
1_23F,airtime_evenness,-10.965473307308455
1_23F,psy_safe,4.380952380952381
1_24A,expgroup,Control
1_24A,repmark,46.99
1_24A,presmark,18.0
1_24A,teammark,58.99
1_24A,airtime_evenness,-11.815838730946991
1_24A,psy_safe,3.9466666666666668
1_24B,expgroup,Control
1_24B,repmark,48.24
1_24B,presmark,17.0
1_24B,teammark,59.57333333333333
1_24B,airtime_evenness,-10.493766447258988
1_24B,psy_safe,4.157142857142857
1_24C,expgroup,Control
1_24C,repmark,50.74
1_24C,presmark,19.0
1_24C,teammark,63.40666666666666
1_24C,airtime_evenness,-12.711841404708943
1_24C,psy_safe,4.329523809523811
1_24D,expgroup,Control
1_24D,repmark,54.529999999999994
1_24D,presmark,17.0
1_24D,teammark,65.86333333333333
1_24D,airtime_evenness,-6.798681373656058
1_24D,psy_safe,4.5
1_24E,expgroup,Control
1_24E,repmark,54.67000000000001
1_24E,presmark,20.0
1_24E,teammark,68.00333333333333
1_24E,airtime_evenness,-10.050193913478129
1_24E,psy_safe,4.242857142857143
1_24F,expgroup,Control
1_24F,repmark,45.550000000000004
1_24F,presmark,19.0
1_24F,teammark,58.21666666666666
1_24F,airtime_evenness,-10.122672145178097
1_24F,psy_safe,3.8647619047619046
1_25A,expgroup,Reflection
1_25A,repmark,48.24
1_25A,presmark,24.66666667
1_25A,teammark,64.68444444666669
1_25A,airtime_evenness,-10.45490196135937
1_25A,psy_safe,3.9714285714285715
1_25B,expgroup,Reflection
1_25B,repmark,50.35
1_25B,presmark,17.33333333
1_25B,teammark,61.90555555333333
1_25B,airtime_evenness,-8.994783324735833
1_25B,psy_safe,4.338095238095238
1_25C,expgroup,Reflection
1_25C,repmark,47.52
1_25C,presmark,18.0
1_25C,teammark,59.52
1_25C,airtime_evenness,-6.466363562081436
1_25C,psy_safe,4.442857142857144
1_25D,expgroup,Reflection
1_25D,repmark,50.35
1_25D,presmark,19.0
1_25D,teammark,63.01666666666666
1_25D,airtime_evenness,-14.700891332408442
1_25D,psy_safe,4.1466666666666665
1_25E,expgroup,Reflection
1_25E,repmark,56.02
1_25E,presmark,23.33333333
1_25E,teammark,71.57555555333333
1_25E,airtime_evenness,-9.755573953990591
1_25E,psy_safe,4.047619047619048
1_25F,expgroup,Reflection
1_25F,repmark,55.15
1_25F,presmark,25.0
1_25F,teammark,71.81666666666666
1_25F,airtime_evenness,-8.100578102622071
1_25F,psy_safe,4.298095238095238
1_26A,expgroup,Feedback
1_26A,repmark,66.72000000000001
1_26A,presmark,13.66666667
1_26A,teammark,75.83111111333334
1_26A,airtime_evenness,-9.369773717152647
1_26A,psy_safe,4.3
1_26B,expgroup,Feedback
1_26B,repmark,65.81
1_26B,presmark,12.0
1_26B,teammark,73.81
1_26B,airtime_evenness,-6.348723079071529
1_26B,psy_safe,4.267857142857142
1_26D,expgroup,Feedback
1_26D,repmark,78.24
1_26D,presmark,22.66666667
1_26D,teammark,93.35111111333333
1_26D,airtime_evenness,-10.435322026615115
1_26D,psy_safe,4.531428571428572
1_26E,expgroup,Feedback
1_26E,repmark,75.15999999999998
1_26E,presmark,19.33333333
1_26E,teammark,88.04888888666666
1_26E,airtime_evenness,-12.018310014382436
1_26E,psy_safe,3.7988095238095236
1_27A,expgroup,Control
1_27A,repmark,49.68
1_27A,presmark,16.75
1_27A,teammark,60.84666666666667
1_27A,airtime_evenness,-11.356698865334998
1_27A,psy_safe,4.318571428571429
1_27B,expgroup,Control
1_27B,repmark,44.4
1_27B,presmark,19.5
1_27B,teammark,57.4
1_27B,airtime_evenness,-7.852312344374616
1_27B,psy_safe,4.385714285714286
1_27C,expgroup,Control
1_27C,repmark,59.57
1_27C,presmark,19.5
1_27C,teammark,72.57
1_27C,airtime_evenness,-9.610075350540406
1_27C,psy_safe,4.382857142857143
1_27D,expgroup,Control
1_27D,repmark,60.1
1_27D,presmark,18.25
1_27D,teammark,72.26666666666667
1_27D,airtime_evenness,-6.758598256171854
1_27D,psy_safe,4.218095238095238
1_27E,expgroup,Control
1_27E,repmark,55.42000000000001
1_27E,presmark,13.25
1_27E,teammark,64.25333333333333
1_27E,airtime_evenness,-8.710053800797791
1_27E,psy_safe,4.752380952380952
1_28A,expgroup,Reflection
1_28A,repmark,48.0
1_28A,presmark,23.66666667
1_28A,teammark,63.77777778
1_28A,airtime_evenness,-10.847089959264878
1_28A,psy_safe,4.066666666666667
1_28B,expgroup,Reflection
1_28B,repmark,56.82999999999999
1_28B,presmark,24.33333333
1_28B,teammark,73.05222221999999
1_28B,airtime_evenness,-9.26350692461866
1_28B,psy_safe,4.585714285714286
1_28C,expgroup,Reflection
1_28C,repmark,49.87
1_28C,presmark,24.0
1_28C,teammark,65.87
1_28C,airtime_evenness,-4.398684854623783
1_28C,psy_safe,4.616190476190477
1_28D,expgroup,Reflection
1_28D,repmark,50.21
1_28D,presmark,23.0
1_28D,teammark,65.54333333333334
1_28D,airtime_evenness,-7.665610808986536
1_28D,psy_safe,4.561857142857142
