sequenceId,ParameterKey,ParameterValue
1_13A,expgroup,Feedback
1_13A,repmark,63.2
1_13A,presmark,63.51351351000001
1_13A,teammark,75.902702702
1_13A,airtime_evenness,-10.100580275086674
1_13A,psy_safe,4.232380952380952
1_13B,expgroup,Feedback
1_13B,repmark,64.39999999999999
1_13B,presmark,52.5
1_13B,teammark,74.89999999999999
1_13B,airtime_evenness,-14.821351711700103
1_13B,psy_safe,3.9390476190476194
1_13C,expgroup,Feedback
1_13C,repmark,60.2
1_13C,presmark,71.35135135
1_13C,teammark,74.47027027
1_13C,airtime_evenness,-12.896867602678116
1_13C,psy_safe,4.384761904761905
1_13D,expgroup,Feedback
1_13D,repmark,52.4
1_13D,presmark,60.54054054000001
1_13D,teammark,64.508108108
1_13D,airtime_evenness,-8.960193984424459
1_13D,psy_safe,4.207142857142857
1_13E,expgroup,Feedback
1_13E,repmark,57.2
1_13E,presmark,64.86486486
1_13E,teammark,70.172972972
1_13E,airtime_evenness,-15.820259538880602
1_13E,psy_safe,4.273214285714285
1_13F,expgroup,Feedback
1_13F,repmark,59.6
1_13F,presmark,73.78378378
1_13F,teammark,74.356756756
1_13F,airtime_evenness,-11.900368355817951
1_13F,psy_safe,4.542857142857143
1_13G,expgroup,Feedback
1_13G,repmark,69.8
1_13G,presmark,73.51351351
1_13G,teammark,84.502702702
1_13G,airtime_evenness,-12.5288938295683
1_13G,psy_safe,4.242857142857143
1_15A,expgroup,Control
1_15A,repmark,47.6
1_15A,presmark,70.83333333
1_15A,teammark,61.766666666000006
1_15A,airtime_evenness,-11.439293609459645
1_15A,psy_safe,4.468571428571429
1_15C,expgroup,Control
1_15C,repmark,51.2
1_15C,presmark,71.94444444
1_15C,teammark,65.588888888
1_15C,airtime_evenness,-11.493611001912011
1_15C,psy_safe,4.365714285714286
1_15D,expgroup,Control
1_15D,repmark,51.8
1_15D,presmark,62.7027027
1_15D,teammark,64.34054054
1_15D,airtime_evenness,-12.66260417989599
1_15D,psy_safe,4.378571428571429
1_15F,expgroup,Control
1_15F,repmark,43.4
1_15F,presmark,68.61111111
1_15F,teammark,57.12222222199999
1_15F,airtime_evenness,-14.536101912424007
1_15F,psy_safe,4.512857142857143
1_15G,expgroup,Control
1_15G,repmark,52.4
1_15G,presmark,68.33333333
1_15G,teammark,66.066666666
1_15G,airtime_evenness,-12.64830688956932
1_15G,psy_safe,4.622857142857143
1_18A,expgroup,Reflection
1_18A,repmark,46.199999999999996
1_18A,presmark,50.85714286
1_18A,teammark,56.371428572000006
1_18A,airtime_evenness,-9.39943060980315
1_18A,psy_safe,4.539047619047619
1_18B,expgroup,Reflection
1_18B,repmark,49.4
1_18B,presmark,58.05555556
1_18B,teammark,61.011111112
1_18B,airtime_evenness,-15.37513028652546
1_18B,psy_safe,4.37
1_18C,expgroup,Reflection
1_18C,repmark,48.2
1_18C,presmark,54.32432432
1_18C,teammark,59.064864864
1_18C,airtime_evenness,-10.86287404320252
1_18C,psy_safe,4.25
1_18E,expgroup,Reflection
1_18E,repmark,53.6
1_18E,presmark,73.05555556
1_18E,teammark,68.211111112
1_18E,airtime_evenness,-9.461791576173862
1_18E,psy_safe,4.497142857142857
1_18F,expgroup,Reflection
1_18F,repmark,61.4
1_18F,presmark,70.83333333
1_18F,teammark,75.566666666
1_18F,airtime_evenness,-8.923253515639008
1_18F,psy_safe,4.045714285714285
1_18G,expgroup,Reflection
1_18G,repmark,52.4
1_18G,presmark,73.88888889
1_18G,teammark,67.177777778
1_18G,airtime_evenness,-12.411565939694363
1_18G,psy_safe,4.685714285714285
1_19A,expgroup,Feedback
1_19A,repmark,55.4
1_19A,presmark,68.05555556
1_19A,teammark,69.011111112
1_19A,airtime_evenness,-11.092460511391861
1_19A,psy_safe,4.261428571428572
1_19B,expgroup,Feedback
1_19B,repmark,55.4
1_19B,presmark,58.82352941
1_19B,teammark,67.164705882
1_19B,airtime_evenness,-8.941067133212895
1_19B,psy_safe,4.120952380952382
1_19C,expgroup,Feedback
1_19C,repmark,50.6
1_19C,presmark,65.14285714
1_19C,teammark,63.628571428
1_19C,airtime_evenness,-7.274282626487717
1_19C,psy_safe,4.217142857142858
1_19D,expgroup,Feedback
1_19D,repmark,50.0
1_19D,presmark,72.77777778
1_19D,teammark,64.555555556
1_19D,airtime_evenness,-15.054622105876314
1_19D,psy_safe,4.171428571428573
